       gamfz        mwfz         tfz           p       ispfz
   1.2279E+00  2.0850E+01  3.3469E+03  8.0000E+01  0.0000E+00
   1.2314E+00  2.0850E+01  3.0018E+03  4.4670E+01  1.2141E+03
   1.2279E+00  2.0850E+01  3.3469E+03  8.0000E+01  0.0000E+00
   1.2276E+00  2.0865E+01  3.3547E+03  9.0000E+01  0.0000E+00
   1.2311E+00  2.0865E+01  3.0092E+03  5.0258E+01  1.2150E+03
   1.2276E+00  2.0865E+01  3.3547E+03  9.0000E+01        -NAN
   1.2274E+00  2.0877E+01  3.3615E+03  1.0000E+02  0.0000E+00
   1.2309E+00  2.0877E+01  3.0156E+03  5.5847E+01  1.2158E+03
   1.2274E+00  2.0877E+01  3.3615E+03  1.0000E+02  1.5601E-04
   1.2272E+00  2.0889E+01  3.3675E+03  1.1000E+02  0.0000E+00
   1.2307E+00  2.0889E+01  3.0213E+03  6.1436E+01  1.2165E+03
   1.2272E+00  2.0889E+01  3.3675E+03  1.1000E+02  0.0000E+00
   1.2270E+00  2.0899E+01  3.3729E+03  1.2000E+02  0.0000E+00
   1.2305E+00  2.0899E+01  3.0264E+03  6.7025E+01  1.2172E+03
   1.2270E+00  2.0899E+01  3.3729E+03  1.2000E+02  0.0000E+00
   1.2269E+00  2.0908E+01  3.3778E+03  1.3000E+02  0.0000E+00
   1.2303E+00  2.0908E+01  3.0310E+03  7.2615E+01  1.2177E+03
   1.2269E+00  2.0908E+01  3.3778E+03  1.3000E+02        -NAN
   1.2267E+00  2.0916E+01  3.3822E+03  1.4000E+02  0.0000E+00
   1.2301E+00  2.0916E+01  3.0351E+03  7.8205E+01  1.2183E+03
   1.2267E+00  2.0916E+01  3.3822E+03  1.4000E+02  0.0000E+00
   1.2266E+00  2.0924E+01  3.3862E+03  1.5000E+02  0.0000E+00
   1.2300E+00  2.0924E+01  3.0390E+03  8.3795E+01  1.2187E+03
   1.2266E+00  2.0924E+01  3.3862E+03  1.5000E+02        -NAN
   1.2265E+00  2.0931E+01  3.3900E+03  1.6000E+02  0.0000E+00
   1.2299E+00  2.0931E+01  3.0425E+03  8.9385E+01  1.2192E+03
   1.2265E+00  2.0931E+01  3.3900E+03  1.6000E+02  0.0000E+00
   1.2263E+00  2.0938E+01  3.3934E+03  1.7000E+02  0.0000E+00
   1.2298E+00  2.0938E+01  3.0457E+03  9.4976E+01  1.2196E+03
   1.2263E+00  2.0938E+01  3.3934E+03  1.7000E+02  0.0000E+00
   1.2204E+00  2.1831E+01  3.4989E+03  6.0000E+01  0.0000E+00
   1.2235E+00  2.1831E+01  3.1490E+03  3.3592E+01  1.2114E+03
   1.2204E+00  2.1831E+01  3.4989E+03  6.0000E+01        -NAN
   1.2199E+00  2.1863E+01  3.5149E+03  7.0000E+01  0.0000E+00
   1.2230E+00  2.1863E+01  3.1642E+03  3.9198E+01  1.2131E+03
   1.2199E+00  2.1863E+01  3.5149E+03  7.0000E+01        -NAN
   1.2195E+00  2.1890E+01  3.5285E+03  8.0000E+01  0.0000E+00
   1.2225E+00  2.1890E+01  3.1771E+03  4.4805E+01  1.2146E+03
   1.2195E+00  2.1890E+01  3.5285E+03  8.0000E+01  0.0000E+00
   1.2191E+00  2.1913E+01  3.5404E+03  9.0000E+01  0.0000E+00
   1.2221E+00  2.1913E+01  3.1883E+03  5.0413E+01  1.2159E+03
   1.2191E+00  2.1913E+01  3.5404E+03  9.0000E+01  0.0000E+00
   1.2188E+00  2.1934E+01  3.5508E+03  1.0000E+02  0.0000E+00
   1.2218E+00  2.1934E+01  3.1982E+03  5.6021E+01  1.2171E+03
   1.2188E+00  2.1934E+01  3.5508E+03  1.0000E+02  0.0000E+00
   1.2185E+00  2.1953E+01  3.5601E+03  1.1000E+02  0.0000E+00
   1.2215E+00  2.1953E+01  3.2071E+03  6.1630E+01  1.2181E+03
   1.2185E+00  2.1953E+01  3.5601E+03  1.1000E+02  0.0000E+00
   1.2182E+00  2.1969E+01  3.5686E+03  1.2000E+02  0.0000E+00
   1.2212E+00  2.1969E+01  3.2150E+03  6.7239E+01  1.2190E+03
   1.2182E+00  2.1969E+01  3.5686E+03  1.2000E+02  0.0000E+00
   1.2180E+00  2.1985E+01  3.5762E+03  1.3000E+02  0.0000E+00
   1.2209E+00  2.1985E+01  3.2223E+03  7.2848E+01  1.2198E+03
   1.2180E+00  2.1985E+01  3.5762E+03  1.3000E+02        -NAN
   1.2177E+00  2.1999E+01  3.5833E+03  1.4000E+02  0.0000E+00
   1.2207E+00  2.1999E+01  3.2290E+03  7.8458E+01  1.2205E+03
   1.2177E+00  2.1999E+01  3.5833E+03  1.4000E+02  0.0000E+00
   1.2175E+00  2.2012E+01  3.5897E+03  1.5000E+02  0.0000E+00
   1.2205E+00  2.2012E+01  3.2351E+03  8.4069E+01  1.2212E+03
   1.2175E+00  2.2012E+01  3.5897E+03  1.5000E+02        -NAN
   1.2173E+00  2.2024E+01  3.5957E+03  1.6000E+02  0.0000E+00
   1.2203E+00  2.2024E+01  3.2408E+03  8.9679E+01  1.2219E+03
   1.2173E+00  2.2024E+01  3.5957E+03  1.6000E+02  1.7118E-04
   1.2172E+00  2.2035E+01  3.6013E+03  1.7000E+02  0.0000E+00
   1.2201E+00  2.2035E+01  3.2461E+03  9.5291E+01  1.2225E+03
   1.2172E+00  2.2035E+01  3.6013E+03  1.7000E+02        -NAN
   1.2150E+00  2.2699E+01  3.5986E+03  6.0000E+01  0.0000E+00
   1.2178E+00  2.2699E+01  3.2469E+03  3.3658E+01  1.2035E+03
   1.2150E+00  2.2699E+01  3.5986E+03  6.0000E+01  0.0000E+00
   1.2144E+00  2.2740E+01  3.6185E+03  7.0000E+01  0.0000E+00
   1.2172E+00  2.2740E+01  3.2658E+03  3.9277E+01  1.2056E+03
   1.2144E+00  2.2740E+01  3.6185E+03  7.0000E+01        -NAN
   1.2138E+00  2.2776E+01  3.6356E+03  8.0000E+01  0.0000E+00
   1.2166E+00  2.2776E+01  3.2821E+03  4.4896E+01  1.2073E+03
   1.2138E+00  2.2776E+01  3.6356E+03  8.0000E+01  1.7118E-04
   1.2134E+00  2.2808E+01  3.6506E+03  9.0000E+01  0.0000E+00
   1.2161E+00  2.2808E+01  3.2963E+03  5.0517E+01  1.2089E+03
   1.2134E+00  2.2808E+01  3.6506E+03  9.0000E+01  0.0000E+00
   1.2129E+00  2.2836E+01  3.6640E+03  1.0000E+02  0.0000E+00
   1.2157E+00  2.2836E+01  3.3090E+03  5.6138E+01  1.2102E+03
   1.2129E+00  2.2836E+01  3.6640E+03  1.0000E+02  0.0000E+00
   1.2126E+00  2.2861E+01  3.6760E+03  1.1000E+02  0.0000E+00
   1.2153E+00  2.2861E+01  3.3205E+03  6.1760E+01  1.2115E+03
   1.2126E+00  2.2861E+01  3.6760E+03  1.1000E+02  0.0000E+00
   1.2122E+00  2.2884E+01  3.6869E+03  1.2000E+02  0.0000E+00
   1.2149E+00  2.2884E+01  3.3309E+03  6.7383E+01  1.2126E+03
   1.2122E+00  2.2884E+01  3.6869E+03  1.2000E+02  1.6699E-04
   1.2119E+00  2.2905E+01  3.6969E+03  1.3000E+02  0.0000E+00
   1.2146E+00  2.2905E+01  3.3404E+03  7.3007E+01  1.2136E+03
