       gamfz        mwfz         tfz           p       ispfz
   1.2016E+00  2.5889E+01  3.7566E+03  1.1000E+02  1.6485E-04
   1.2011E+00  2.5923E+01  3.7703E+03  1.2000E+02  0.0000E+00
   1.2035E+00  2.5923E+01  3.4236E+03  6.7648E+01  1.1496E+03
   1.2011E+00  2.5923E+01  3.7703E+03  1.2000E+02        -NAN
   1.2007E+00  2.5954E+01  3.7829E+03  1.3000E+02  0.0000E+00
   1.2031E+00  2.5954E+01  3.4357E+03  7.3296E+01  1.1508E+03
   1.2007E+00  2.5954E+01  3.7829E+03  1.3000E+02  0.0000E+00
   1.2004E+00  2.5983E+01  3.7946E+03  1.4000E+02  0.0000E+00
   1.2028E+00  2.5983E+01  3.4470E+03  7.8944E+01  1.1518E+03
   1.2004E+00  2.5983E+01  3.7946E+03  1.4000E+02  0.0000E+00
   1.2000E+00  2.6011E+01  3.8056E+03  1.5000E+02  0.0000E+00
   1.2024E+00  2.6011E+01  3.4574E+03  8.4593E+01  1.1528E+03
   1.2000E+00  2.6011E+01  3.8056E+03  1.5000E+02        -NAN
   1.1997E+00  2.6036E+01  3.8158E+03  1.6000E+02  0.0000E+00
   1.2021E+00  2.6036E+01  3.4672E+03  9.0243E+01  1.1537E+03
   1.1997E+00  2.6036E+01  3.8158E+03  1.6000E+02  0.0000E+00
   1.1994E+00  2.6060E+01  3.8254E+03  1.7000E+02  0.0000E+00
   1.2018E+00  2.6060E+01  3.4765E+03  9.5894E+01  1.1545E+03
   1.1994E+00  2.6060E+01  3.8254E+03  1.7000E+02  0.0000E+00
   1.2037E+00  2.6089E+01  3.6466E+03  6.0000E+01  0.0000E+00
   1.2063E+00  2.6089E+01  3.3073E+03  3.3792E+01  1.1276E+03
   1.2037E+00  2.6089E+01  3.6466E+03  6.0000E+01  0.0000E+00
   1.2030E+00  2.6148E+01  3.6702E+03  7.0000E+01  0.0000E+00
   1.2055E+00  2.6148E+01  3.3298E+03  3.9435E+01  1.1298E+03
   1.2030E+00  2.6148E+01  3.6702E+03  7.0000E+01  0.0000E+00
   1.2024E+00  2.6199E+01  3.6906E+03  8.0000E+01  0.0000E+00
   1.2048E+00  2.6199E+01  3.3494E+03  4.5079E+01  1.1317E+03
   1.2024E+00  2.6199E+01  3.6906E+03  8.0000E+01  0.0000E+00
   1.2018E+00  2.6244E+01  3.7088E+03  9.0000E+01  0.0000E+00
   1.2042E+00  2.6244E+01  3.3667E+03  5.0724E+01  1.1333E+03
   1.2018E+00  2.6244E+01  3.7088E+03  9.0000E+01  0.0000E+00
   1.2013E+00  2.6285E+01  3.7250E+03  1.0000E+02  0.0000E+00
   1.2037E+00  2.6285E+01  3.3823E+03  5.6370E+01  1.1348E+03
   1.2013E+00  2.6285E+01  3.7250E+03  1.0000E+02  0.0000E+00
   1.2008E+00  2.6322E+01  3.7398E+03  1.1000E+02  0.0000E+00
   1.2032E+00  2.6322E+01  3.3964E+03  6.2017E+01  1.1362E+03
   1.2008E+00  2.6322E+01  3.7398E+03  1.1000E+02  0.0000E+00
   1.2004E+00  2.6357E+01  3.7533E+03  1.2000E+02  0.0000E+00
   1.2028E+00  2.6357E+01  3.4094E+03  6.7666E+01  1.1374E+03
   1.2004E+00  2.6357E+01  3.7533E+03  1.2000E+02  0.0000E+00
   1.2000E+00  2.6388E+01  3.7658E+03  1.3000E+02  0.0000E+00
   1.2024E+00  2.6388E+01  3.4213E+03  7.3315E+01  1.1385E+03
   1.2000E+00  2.6388E+01  3.7658E+03  1.3000E+02        -NAN
   1.1996E+00  2.6418E+01  3.7773E+03  1.4000E+02  0.0000E+00
   1.2020E+00  2.6418E+01  3.4324E+03  7.8964E+01  1.1395E+03
   1.1996E+00  2.6418E+01  3.7773E+03  1.4000E+02  0.0000E+00
   1.1993E+00  2.6445E+01  3.7881E+03  1.5000E+02  0.0000E+00
   1.2017E+00  2.6445E+01  3.4427E+03  8.4615E+01  1.1405E+03
   1.1993E+00  2.6445E+01  3.7881E+03  1.5000E+02        -NAN
   1.1990E+00  2.6471E+01  3.7982E+03  1.6000E+02  0.0000E+00
   1.2013E+00  2.6471E+01  3.4524E+03  9.0266E+01  1.1414E+03
   1.1990E+00  2.6471E+01  3.7982E+03  1.6000E+02  0.0000E+00
   1.1987E+00  2.6495E+01  3.8077E+03  1.7000E+02  0.0000E+00
   1.2010E+00  2.6495E+01  3.4615E+03  9.5918E+01  1.1422E+03
   1.1987E+00  2.6495E+01  3.8077E+03  1.7000E+02  0.0000E+00
   1.2032E+00  2.6488E+01  3.6281E+03  6.0000E+01  0.0000E+00
   1.2057E+00  2.6488E+01  3.2914E+03  3.3799E+01  1.1161E+03
   1.2032E+00  2.6488E+01  3.6281E+03  6.0000E+01  0.0000E+00
   1.2024E+00  2.6546E+01  3.6512E+03  7.0000E+01  0.0000E+00
   1.2049E+00  2.6546E+01  3.3135E+03  3.9442E+01  1.1183E+03
   1.2024E+00  2.6546E+01  3.6512E+03  7.0000E+01  0.0000E+00
   1.2018E+00  2.6597E+01  3.6713E+03  8.0000E+01  0.0000E+00
   1.2043E+00  2.6597E+01  3.3327E+03  4.5087E+01  1.1201E+03
   1.2018E+00  2.6597E+01  3.6713E+03  8.0000E+01  1.5372E-04
   1.2012E+00  2.6642E+01  3.6891E+03  9.0000E+01  0.0000E+00
   1.2037E+00  2.6642E+01  3.3497E+03  5.0733E+01  1.1218E+03
   1.2012E+00  2.6642E+01  3.6891E+03  9.0000E+01  0.0000E+00
   1.2007E+00  2.6683E+01  3.7051E+03  1.0000E+02  0.0000E+00
   1.2032E+00  2.6683E+01  3.3650E+03  5.6381E+01  1.1232E+03
   1.2007E+00  2.6683E+01  3.7051E+03  1.0000E+02  0.0000E+00
   1.2003E+00  2.6720E+01  3.7196E+03  1.1000E+02  0.0000E+00
   1.2027E+00  2.6720E+01  3.3789E+03  6.2029E+01  1.1245E+03
   1.2003E+00  2.6720E+01  3.7196E+03  1.1000E+02  0.0000E+00
   1.1998E+00  2.6754E+01  3.7329E+03  1.2000E+02  0.0000E+00
   1.2023E+00  2.6754E+01  3.3916E+03  6.7678E+01  1.1257E+03
   1.1998E+00  2.6754E+01  3.7329E+03  1.2000E+02        -NAN
   1.1995E+00  2.6786E+01  3.7451E+03  1.3000E+02  0.0000E+00
   1.2019E+00  2.6786E+01  3.4033E+03  7.3328E+01  1.1268E+03
   1.1995E+00  2.6786E+01  3.7451E+03  1.3000E+02  0.0000E+00
   1.1991E+00  2.6815E+01  3.7564E+03  1.4000E+02  0.0000E+00
   1.2015E+00  2.6815E+01  3.4142E+03  7.8978E+01  1.1278E+03
   1.1991E+00  2.6815E+01  3.7564E+03  1.4000E+02  0.0000E+00
   1.1988E+00  2.6842E+01  3.7670E+03  1.5000E+02  0.0000E+00
   1.2012E+00  2.6842E+01  3.4243E+03  8.4630E+01  1.1287E+03
   1.1988E+00  2.6842E+01  3.7670E+03  1.5000E+02  1.6049E-04
   1.1985E+00  2.6868E+01  3.7769E+03  1.6000E+02  0.0000E+00
   1.2008E+00  2.6868E+01  3.4338E+03  9.0282E+01  1.1296E+03
   1.1985E+00  2.6868E+01  3.7769E+03  1.6000E+02  1.4983E-04
   1.1982E+00  2.6892E+01  3.7862E+03  1.7000E+02  0.0000E+00
   1.2005E+00  2.6892E+01  3.4428E+03  9.5934E+01  1.1304E+03
   1.1982E+00  2.6892E+01  3.7862E+03  1.7000E+02  1.6840E-04
   1.2027E+00  2.6856E+01  3.6075E+03  6.0000E+01  0.0000E+00
   1.2053E+00  2.6856E+01  3.2733E+03  3.3804E+01  1.1052E+03
   1.2027E+00  2.6856E+01  3.6075E+03  6.0000E+01        -NAN
   1.2020E+00  2.6914E+01  3.6301E+03  7.0000E+01  0.0000E+00
   1.2045E+00  2.6914E+01  3.2950E+03  3.9448E+01  1.1073E+03
   1.2020E+00  2.6914E+01  3.6301E+03  7.0000E+01  0.0000E+00
   1.2014E+00  2.6964E+01  3.6498E+03  8.0000E+01  0.0000E+00
   1.2039E+00  2.6964E+01  3.3138E+03  4.5093E+01  1.1091E+03
   1.2014E+00  2.6964E+01  3.6498E+03  8.0000E+01  0.0000E+00
   1.2008E+00  2.7009E+01  3.6673E+03  9.0000E+01  0.0000E+00
   1.2033E+00  2.7009E+01  3.3305E+03  5.0740E+01  1.1107E+03
   1.2008E+00  2.7009E+01  3.6673E+03  9.0000E+01  0.0000E+00
   1.2003E+00  2.7050E+01  3.6829E+03  1.0000E+02  0.0000E+00
   1.2028E+00  2.7050E+01  3.3455E+03  5.6388E+01  1.1121E+03
   1.2003E+00  2.7050E+01  3.6829E+03  1.0000E+02        -NAN
   1.1999E+00  2.7087E+01  3.6971E+03  1.1000E+02  0.0000E+00
   1.2023E+00  2.7087E+01  3.3590E+03  6.2037E+01  1.1134E+03
   1.1999E+00  2.7087E+01  3.6971E+03  1.1000E+02        -NAN
   1.1995E+00  2.7120E+01  3.7101E+03  1.2000E+02  0.0000E+00
   1.2019E+00  2.7120E+01  3.3715E+03  6.7686E+01  1.1146E+03
   1.1995E+00  2.7120E+01  3.7101E+03  1.2000E+02        -NAN
   1.1991E+00  2.7152E+01  3.7220E+03  1.3000E+02  0.0000E+00
   1.2015E+00  2.7152E+01  3.3829E+03  7.3337E+01  1.1157E+03
   1.1991E+00  2.7152E+01  3.7220E+03  1.3000E+02  1.5601E-04
   1.1987E+00  2.7181E+01  3.7331E+03  1.4000E+02  0.0000E+00
   1.2012E+00  2.7181E+01  3.3935E+03  7.8988E+01  1.1166E+03
   1.1987E+00  2.7181E+01  3.7331E+03  1.4000E+02  0.0000E+00
   1.1984E+00  2.7208E+01  3.7434E+03  1.5000E+02  0.0000E+00
   1.2008E+00  2.7208E+01  3.4034E+03  8.4640E+01  1.1176E+03
   1.1984E+00  2.7208E+01  3.7434E+03  1.5000E+02  0.0000E+00
   1.1981E+00  2.7233E+01  3.7531E+03  1.6000E+02  0.0000E+00
   1.2005E+00  2.7233E+01  3.4127E+03  9.0292E+01  1.1184E+03
   1.1981E+00  2.7233E+01  3.7531E+03  1.6000E+02        -NAN
   1.1978E+00  2.7257E+01  3.7622E+03  1.7000E+02  0.0000E+00
   1.2002E+00  2.7257E+01  3.4215E+03  9.5945E+01  1.1192E+03
   1.1978E+00  2.7257E+01  3.7622E+03  1.7000E+02  0.0000E+00
